barcode,variant_id,product_id,product_title,variant_title,sku,product_type,vendor,tags,price,unit_cost,inventory_quantity,status
746134163401,gid://shopify/ProductVariant/42218515628097,gid://shopify/Product/7579566669889,2024-25 Panini Prizm Premier League Hobby Blaster,Default Title,2-17699-20,Sealed Wax,Panini,"Blaster, In-Stock, Panini, Sealed Soccer, Soccer",9.99,21.0,3,ACTIVE
746134177774,gid://shopify/ProductVariant/42224130261057,gid://shopify/Product/7581873963073,2024-25 Panini Impeccable Soccer Hobby Box,Default Title,,Sealed Wax,Panini,"$500-$1000, 2024-25, Boxes, Panini, Soccer",804.99,608.0,0,ARCHIVED
746134163340,gid://shopify/ProductVariant/42224130293825,gid://shopify/Product/7581873995841,2024-25 Panini Prizm Premier League EPL Soccer 6-Pack Blaster Box (Pink Mosaic Prizms),Default Title,,Sealed Wax,Panini,"2024, 2024-25, Blaster, blaster box, Panini, Panini Prizm, Premier League, Soccer, Sports Other",14.99,17.5,-2,ACTIVE
746134176166,gid://shopify/ProductVariant/42224130359361,gid://shopify/Product/7581874061377,2024 Panini Phoenix Football Hobby Blaster Box,Default Title,,Sealed Wax,Panini,"2024, 2024-25, Blaster, blaster box, football, In-Stock, NFL, NFLPA, Panini, Panini Phoenix, Sealed Football",54.99,50.0,1,ACTIVE
746134173424,gid://shopify/ProductVariant/42224130392129,gid://shopify/Product/7581874094145,2024 Panini Select Football Hobby Box,Default Title,,Sealed Wax,Panini,"2024, football, Hobby box, In-Stock, Panini, Panini Select, Sealed Football",949.99,880.0,2,ACTIVE
887521139262,gid://shopify/ProductVariant/42224130752577,gid://shopify/Product/7581874126913,2025 Bowman Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"2025, baseball, Bowman, hobby, Hobby box, MLB, Topps",274.99,268.75,0,ACTIVE
746134174070,gid://shopify/ProductVariant/42224130785345,gid://shopify/Product/7581874159681,2024 Panini Prizm Baseball Hobby Blaster Box,Default Title,,Sealed Wax,Panini,"baseball, In-Stock, Sealed Baseball",17.49,15.0,1,ACTIVE
746134166686,gid://shopify/ProductVariant/42224130818113,gid://shopify/Product/7581874192449,2024 Panini Prospect Edition Baseball Trading Card Hobby Box,Default Title,,Sealed Wax,Panini,"Autograph, baseball, Debut Edition, hobby, Hobby box, Panini, Prospect Edition",95.99,,0,ARCHIVED
746134166587,gid://shopify/ProductVariant/42224130883649,gid://shopify/Product/7581874257985,2024 Panini Select Baseball Hobby Box,Default Title,,Sealed Wax,Panini,"$100-$250, 2024, Baseball, Boxes, Panini",169.99,,0,ARCHIVED
746134181399,gid://shopify/ProductVariant/42224130981953,gid://shopify/Product/7581874356289,2025 Panini USA Stars & Stripes Baseball Hobby Box,Default Title,,Sealed Wax,Panini,"$0-$100, 2025, Baseball, Boxes, Panini",69.99,76.0,0,ACTIVE
887521138357,gid://shopify/ProductVariant/42224131014721,gid://shopify/Product/7581874389057,2024 Topps Signature Class Football Hobby Box,Default Title,,Sealed Wax,Topps,"2024, 2024-25, football, hobby, Hobby box, NFL, signature class, Topps, topps signature class, Unlicensed",369.99,341.67,0,ARCHIVED
887521138388,gid://shopify/ProductVariant/42224131047489,gid://shopify/Product/7581874421825,2024 Topps Signature Class Football 6-Pack Blaster Box,Default Title,,Sealed Wax,Topps,"2024, 2024-25, Autograph, Blaster, blaster box, football, NFL, Topps, topps signature class",24.95,20.0,0,ARCHIVED
887521135073,gid://shopify/ProductVariant/42224131080257,gid://shopify/Product/7581874454593,2024 Topps Resurgence Football 8-Pack Blaster Box,Default Title,,Sealed Wax,Topps,"2024, 2024-25, Blaster, blaster box, football, NFL, Topps, Topps Resurgence",29.99,,0,ARCHIVED
819110016357,gid://shopify/ProductVariant/42224131113025,gid://shopify/Product/7581874487361,2025 Leaf Electrum Multi-Sport Hobby Box,Default Title,,Sealed Wax,Leaf,"2025, Hobby box, In-Stock, leaf, Multi-Sport",199.99,290.0,4,ACTIVE
887521133246,gid://shopify/ProductVariant/42230077489217,gid://shopify/Product/7583203917889,2024 Topps Heritage High Number Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"2024, Autograph, baseball, Heritage Baseball, hobby, Hobby box, MLB, Topps, Topps Heritage",134.99,,-1,ACTIVE
887521133604,gid://shopify/ProductVariant/42230077554753,gid://shopify/Product/7583203983425,2024 Topps Archives Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"$100-$250, 2024, Baseball, Boxes, Topps",179.99,,-4,ARCHIVED
887521130382,gid://shopify/ProductVariant/42230077587521,gid://shopify/Product/7583204016193,2024 Topps Allen and Ginter Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"$100-$250, 2024, Baseball, Boxes, Topps",249.99,,0,ARCHIVED
887521123810,gid://shopify/ProductVariant/42230077620289,gid://shopify/Product/7583204048961,2024 Topps Heritage Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"$100-$250, 2024, Baseball, Boxes, Existing, Topps",124.99,,0,ACTIVE
887521130115,gid://shopify/ProductVariant/42230077653057,gid://shopify/Product/7583204081729,2024 Topps Gold Label UFC Hobby Box,Default Title,,Sealed Wax,Topps,"$100-$250, 2024, Boxes, Existing, Topps, UFC",138.99,,0,ARCHIVED
746000000000,gid://shopify/ProductVariant/42230077685825,gid://shopify/Product/7583204114497,2024 Panini Prizm Football Hobby Box,Default Title,,Sealed Wax,Panini,"$1000-$2500, 2024, Boxes, Existing, Football, Panini",1199.99,,0,ACTIVE
887521109517,gid://shopify/ProductVariant/42230077718593,gid://shopify/Product/7583204147265,2022 Topps Chrome Baseball Hobby Box,Default Title,,Sealed Wax,Topps,"2022, Baseball, Chrome, Existing, Hobby, Topps",49.99,,-6,ACTIVE
