product_id,variant_id,product_title,product_created_at,product_status,product_type,variant_title,sku,barcode,price,compare_at_price,cost,inventory_quantity,sold_7d,sold_30d,sold_60d
gid://shopify/Product/7581874389057,gid://shopify/ProductVariant/42224131014721,2024 Topps Signature Class Football Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,887521138357,369.99,,341.67,0,0,0,0
gid://shopify/Product/7581874421825,gid://shopify/ProductVariant/42224131047489,2024 Topps Signature Class Football 6-Pack Blaster Box,,ARCHIVED,Sealed Wax,Default Title,,887521138388,24.95,,20,0,0,0,0
gid://shopify/Product/7581874454593,gid://shopify/ProductVariant/42224131080257,2024 Topps Resurgence Football 8-Pack Blaster Box,,ARCHIVED,Sealed Wax,Default Title,,887521135073,29.99,,,0,0,0,0
gid://shopify/Product/7581874487361,gid://shopify/ProductVariant/42224131113025,2025 Leaf Electrum Multi-Sport Hobby Box,,ACTIVE,Sealed Wax,Default Title,,819110016357,199.99,,290,4,0,0,0
gid://shopify/Product/7583203917889,gid://shopify/ProductVariant/42230077489217,2024 Topps Heritage High Number Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521133246,134.99,,,-1,0,0,0
gid://shopify/Product/7583203983425,gid://shopify/ProductVariant/42230077554753,2024 Topps Archives Baseball Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,887521133604,179.99,,,-4,0,0,0
gid://shopify/Product/7583204016193,gid://shopify/ProductVariant/42230077587521,2024 Topps Allen and Ginter Baseball Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,887521130382,249.99,,,0,0,0,0
gid://shopify/Product/7583204048961,gid://shopify/ProductVariant/42230077620289,2024 Topps Heritage Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521123810,124.99,,,0,0,0,0
gid://shopify/Product/7583204081729,gid://shopify/ProductVariant/42230077653057,2024 Topps Gold Label UFC Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,887521130115,138.99,,,0,0,0,0
gid://shopify/Product/7583204114497,gid://shopify/ProductVariant/42230077685825,2024 Panini Prizm Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746000000000,1199.99,,,0,0,0,0
gid://shopify/Product/7583204147265,gid://shopify/ProductVariant/42230077718593,2022 Topps Chrome Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521109517,49.99,,,-6,0,0,0
gid://shopify/Product/7583204180033,gid://shopify/ProductVariant/42230077751361,2021 Panini Prizm Draft Picks Basketball Cereal Box,,ARCHIVED,Sealed Wax,Default Title,,613297994701,14.99,,,0,0,0,0
gid://shopify/Product/7583204212801,gid://shopify/ProductVariant/42230077784129,2024 Panini Prizm Draft Picks Collegiate Football Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,746134158704,174.99,,,-7,0,0,0
gid://shopify/Product/7583204245569,gid://shopify/ProductVariant/42230077816897,2024 Topps Chrome Tennis Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521130757,114.99,,93,0,0,0,0
gid://shopify/Product/7656878506049,gid://shopify/ProductVariant/42813225304129,2025 Donruss Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134185045,549.99,,418,2,0,0,0
gid://shopify/Product/7581873963073,gid://shopify/ProductVariant/42224130261057,2024-25 Panini Impeccable Soccer Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,746134177774,804.99,,608,0,0,0,0
gid://shopify/Product/7581874061377,gid://shopify/ProductVariant/42224130359361,2024 Panini Phoenix Football Hobby Blaster Box,,ACTIVE,Sealed Wax,Default Title,,746134176166,54.99,,50,1,0,0,0
gid://shopify/Product/7581874094145,gid://shopify/ProductVariant/42224130392129,2024 Panini Select Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134173424,949.99,,880,2,0,0,0
gid://shopify/Product/7581874126913,gid://shopify/ProductVariant/42224130752577,2025 Bowman Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521139262,274.99,,268.75,0,0,0,0
gid://shopify/Product/7581874159681,gid://shopify/ProductVariant/42224130785345,2024 Panini Prizm Baseball Hobby Blaster Box,,ACTIVE,Sealed Wax,Default Title,,746134174070,17.49,,15,1,0,0,0
gid://shopify/Product/7581874192449,gid://shopify/ProductVariant/42224130818113,2024 Panini Prospect Edition Baseball Trading Card Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,746134166686,95.99,,,0,0,0,0
gid://shopify/Product/7581874257985,gid://shopify/ProductVariant/42224130883649,2024 Panini Select Baseball Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,746134166587,169.99,,,0,0,0,0
gid://shopify/Product/7581874356289,gid://shopify/ProductVariant/42224130981953,2025 Panini USA Stars & Stripes Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134181399,69.99,,76,0,0,0,0
gid://shopify/Product/7585562198081,gid://shopify/ProductVariant/42237398614081,2020 Topps Heritage High Number Baseball Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,887521092727,49.99,,,-1,0,0,0
gid://shopify/Product/7585562263617,gid://shopify/ProductVariant/42237398679617,2024 Panini Select Baseball Hobby Blaster Box,,ACTIVE,Sealed Wax,Default Title,,746134174391,27.99,,21,-10,0,0,0
gid://shopify/Product/7585562296385,gid://shopify/ProductVariant/42237398712385,2024 Topps Heritage High Number Baseball Blaster Box,,ARCHIVED,Sealed Wax,Default Title,,887521133307,34.99,,,0,0,0,0
gid://shopify/Product/7585562361921,gid://shopify/ProductVariant/42237398777921,2022 Topps Chrome Update Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521114818,114.99,,,3,0,0,0
gid://shopify/Product/7585562394689,gid://shopify/ProductVariant/42237398810689,2025 Leaf Metal Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,819110015961,139.99,,125,9,0,0,0
gid://shopify/Product/7585562427457,gid://shopify/ProductVariant/42237398843457,2025 Leaf Metal Football Jumbo Box,,ACTIVE,Sealed Wax,Default Title,,819110015978,264.99,,250,2,0,0,0
gid://shopify/Product/7586839593025,gid://shopify/ProductVariant/42241802436673,2025 Topps Series 2 Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521141166,189.99,,158,-2,0,0,0
gid://shopify/Product/7586839625793,gid://shopify/ProductVariant/42241802469441,2024 Panini Contenders Football Hobby Box,,ARCHIVED,Sealed Wax,Default Title,,746134169861,229.99,,182.5,0,0,0,0
gid://shopify/Product/7586839756865,gid://shopify/ProductVariant/42241802534977,2025 Panini Donruss Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134181603,134.99,,117,3,0,0,0
gid://shopify/Product/7588617846849,gid://shopify/ProductVariant/42247237599297,2024-25 Panini Select Basketball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134180484,399.99,,375,0,0,0,0
gid://shopify/Product/7588617879617,gid://shopify/ProductVariant/42247237632065,2024-25 Panini Select FIFA Soccer Hobby Blaster Box,,ACTIVE,Sealed Wax,Default Title,,746134190865,27.99,,21,1,0,0,0
